canonical_question_id,ai_suggested_chapter,ai_suggested_subtopic,ai_suggested_question_pattern,ai_suggested_difficulty,ai_suggested_ncert_heading,ai_suggested_micro_concept,micro_concept_confidence,micro_concept_note,llm_label,rule_label,embedding_label,bm25_label,final_confidence,review_reason,taxonomy_mismatch_reason,question_text
cq_000156_3df6785270,Business Environment,dimensions,match-the-following,medium,Dimensions,dimensions,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Environment :: dimensions,Business Environment :: dimensions,Business Environment :: dimensions,Business Environment :: dimensions,0.99,taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk; taxonomy mismatch: micro_concept not allowed for chapter: financial risk,,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Business Environment | Dimension |
| (A) Economic | (I) KYC compliance is mandatory in mutual funds investment |
| (B) Social | (II) Construction companies prefer low longer-term interest rates |
| (C) Legal | (III) The government maintains general stability and peace in the country |
| (D) Political | (IV) Rise in demand for goods during festivals |

 Choose the correct answer from the options given below:"
cq_000161_05031e2848,Nature and Significance of Management,meaning and objectives,definition-based,easy,Meaning And Objectives,meaning and objectives,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,0.99,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Planning is an important function of management which involves defining the following: 

 (A) Setting objectives 
 (B) Deciding on plans, actions and strategies to achieve organisational goals 
 (C) Allocating and arranging resources 
 (D) Motivating and inspiring people to perform better 

 Choose the correct answer from the options given below:"
cq_000162_afeb7739f4,Business Environment,dimensions,principle-identification,easy,Dimensions,dimensions,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Environment :: dimensions,Nature and Significance of Management :: meaning and objectives,Business Environment :: dimensions,Business Environment :: dimensions,0.77,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,_______provide useful insights to managerial behaviour and influence managerial practices.
cq_000163_fc8c0e8b07,Staffing,Compensation and Benefits,definition-based,easy,Compensation And Benefits,Compensation and Benefits,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Staffing :: Compensation and Benefits,Staffing :: staffing process,Consumer Protection :: legal redressal,Consumer Protection :: legal redressal,0.33,confidence=0.33; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits; taxonomy mismatch: subtopic not allowed for chapter: Compensation and Benefits,subtopic not allowed for chapter: Compensation and Benefits,"'Compensation refers to all forms of pay or rewards going to employees where some payments are direct and some are indirect'. 

 An indirect payment is:"
cq_000164_bce212b09b,Organising,importance,match-the-following,medium,Importance,importance,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Organising :: importance,Organising :: importance,Organising :: importance,Organising :: importance,0.99,taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics; taxonomy mismatch: micro_concept not allowed for chapter: entrepreneur characteristics,,"Match List-I with List-II 
 

| List-I | List-II |
| --- | --- |
| Importance of Organising | Description |
| --- | --- |
| (A) Development of personnel | (I) Survive and grow in spite of changes |
| (B) Adaptation to change | (II) Stimulating creativity amongst the managers |
| (C) Expansion and growth | (III) Clear description of jobs to avoid confusion |
| (D) Effective administration | (IV) Allowing a business enterprise to add more job positions and departments |

 
 Choose the correct answer from the options given below:"
cq_000167_61db4b16ef,Controlling,relationship with planning,definition-based,easy,Relationship With Planning,controlling,0.82,,Controlling :: relationship with planning,Nature and Significance of Management :: functions of management,Controlling :: relationship with planning,Controlling :: relationship with planning,0.71,confidence=0.71; agreement=3/4,,Controlling improves future _______ by providing information derived from past experience.
cq_000168_b511f3692a,Business Finance,working capital,principle-identification,easy,Working Capital,working capital,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Organizational Behaviour :: Scientific Management,Business Finance :: working capital,Business Finance :: working capital,Business Finance :: working capital,0.48,confidence=0.48; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"""Standardisation refers to the process of setting standards for every business activity; it can be standardisation of process, raw material, time, product, machinery, methods or working conditions"". The phenomenon of standardisation was specified by:"
cq_000169_160b6a9beb,Nature and Significance of Management,functions of management,chronology/process order,easy,Functions Of Management,functions of management,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: functions of management,Nature and Significance of Management :: functions of management,Nature and Significance of Management :: functions of management,Nature and Significance of Management :: functions of management,0.98,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"_________ involves synchronisation of the different actions or efforts of the various units of an organization by providing the requisite amount, quality, timing and sequence of efforts which ensures that planned objectives are achieved with a minimum of conflict."
cq_000170_e6c64ebcdf,Directing,motivation,definition-based,easy,Motivation,motivation,0.82,,Directing :: motivation,Directing :: motivation,Directing :: motivation,Directing :: motivation,0.74,confidence=0.74; agreement=4/4,,Paras developed a negative attitude towards his work because of his unsatisfactory performance appraisal. Which of the following may help him to change his attitude?
cq_000172_63920a7e82,Business Environment,meaning and features,definition-based,easy,Meaning And Features,environment,0.82,,Business Environment :: meaning and features,Entrepreneurship Development :: concept and functions,Business Environment :: meaning and features,Business Environment :: meaning and features,0.74,confidence=0.74; agreement=3/4,,"The sum total of all individuals, institutions and other forces that are outside the control of a business firm, but that may affect its performance is known as:"
cq_000173_1db2cae0e8,Organising,delegation,definition-based,easy,Delegation,delegation,0.82,,Organising :: Delegation,Organising :: delegation,Organising :: delegation,Organising :: delegation,0.66,confidence=0.66; agreement=3/4,,"If the workload of a manager is more than his capacity, which of the following can he use to offload the work?"
cq_000180_fd5da6d3b2,Marketing,product,definition-based,easy,Product,product mix,0.82,,Marketing :: product,Marketing :: product,Marketing :: product,Marketing :: product,0.65,confidence=0.65; agreement=4/4,,What type of packaging does Aroma Coffee House use?
cq_000181_48b5d0f9fc,Marketing Management,Brand Management,definition-based,easy,Brand Management,Brand Management,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Marketing Management :: Brand Management,Nature and Significance of Management :: importance of management,Planning :: meaning and features,Planning :: meaning and features,0.32,confidence=0.32; agreement=1/4; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter,unknown chapter,What is Aroma Coffee House's primary branding focus?
cq_000182_884c882770,Business Finance,financial management,definition-based,easy,Financial Management,financial management,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Finance :: financial management,Business Finance :: financing decision,Business Finance :: financial management,Business Finance :: financial management,0.92,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,Which component is NOT a part of GreenTech's financial management?
cq_000186_ec42951cbc,Business Finance,working capital,definition-based,easy,Working Capital,working capital,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Finance :: investment decision,Business Finance :: investment decision,Business Finance :: working capital,Business Finance :: working capital,0.55,confidence=0.55; agreement=2/4; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,Which process evaluates the viability of long-term investment projects?
cq_000187_81d4086286,Business Finance,financing decision,definition-based,easy,Financing Decision,financial risk,0.82,,Business Finance :: Debt Management and Coverage Ratios,Business Finance :: financing decision,Business Finance :: financing decision,Business Finance :: financing decision,0.64,confidence=0.64; agreement=3/4,,The Debt Service Coverage Ratio of company A is higher than that of company B. What does this indicate?
cq_000188_0e66f51d3c,Directing,communication,definition-based,easy,Communication,directing,0.82,,Directing :: elements of directing,Directing :: meaning and importance,Directing :: communication,Directing :: communication,0.46,confidence=0.46; agreement=2/4,,"Which of the following are the elements of directing?

(A) Communication

(B) Motivation

(C) Supervision

(D) Compensation

Choose the correct answer from the options given below:"
cq_000194_f9cdbf97f5,Marketing,marketing management philosophies,definition-based,easy,Marketing Management Philosophies,marketing,0.82,,Staffing :: meaning and importance,Staffing :: meaning and importance,Marketing :: marketing management philosophies,Marketing :: marketing management philosophies,0.35,confidence=0.35; agreement=2/4,,The Concept of Staffing is about:
cq_000198_76ef980c07,Business Finance,investment decision,match-the-following,medium,Investment Decision,investment decision,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Finance :: investment decision,Business Finance :: investment decision,Business Finance :: investment decision,Business Finance :: investment decision,0.99,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Decisions | Factors affecting the Decisions |
| --- | --- |
| (A) Fixed Capital Decision. | (I) Diversification |
| (B) Capital Structure Decision | (II) Cash flows of the project |
| (C) Working Capital Decision | (III) Control on Business |
| (D) Capital budgeting decision | (IV) Business Cycle |

Choose the <b>correct</b> answer from the options given below:"
cq_000199_6a34dde4eb,Nature and Significance of Management,functions of management,definition-based,easy,Functions Of Management,management,0.82,,Nature and Significance of Management :: functions of management,Nature and Significance of Management :: functions of management,Nature and Significance of Management :: coordination,Nature and Significance of Management :: coordination,0.52,confidence=0.52; agreement=2/4,,"Since the future cannot be predicted with absolute accuracy, ___________ premises may not be fully reliable."
cq_000205_14ffe043af,Business Environment,importance of environment,statement true/false,medium,Importance Of Environment,importance of environment,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Environment :: importance of environment,Business Environment :: importance of environment,Business Environment :: importance of environment,Business Environment :: importance of environment,0.96,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,Which of the following statements does NOT represent the importance of business environment?
cq_000206_c92585d6c0,Principles of Management,environmental scanning techniques,definition-based,easy,Environmental Scanning Techniques,environmental scanning techniques,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Principles of Management :: environmental scanning techniques,Planning :: types of plans,Principles of Management :: techniques of scientific management,Principles of Management :: techniques of scientific management,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: environmental scanning techniques; micro_concept not allowed for chapter: types of plans; taxonomy mismatch: subtopic not allowed for chapter: environmental scanning techniques; micro_concept not allowed for chapter: types of plans; taxonomy mismatch: subtopic not allowed for chapter: environmental scanning techniques; micro_concept not allowed for chapter: types of plans; taxonomy mismatch: subtopic not allowed for chapter: environmental scanning techniques; micro_concept not allowed for chapter: types of plans; taxonomy mismatch: subtopic not allowed for chapter: environmental scanning techniques; micro_concept not allowed for chapter: types of plans; taxonomy mismatch: subtopic not allowed for chapter: environmental scanning techniques; micro_concept not allowed for chapter: types of plans; taxonomy mismatch: subtopic not allowed for chapter: environmental scanning techniques; micro_concept not allowed for chapter: environmental scanning techniques; taxonomy mismatch: subtopic not allowed for chapter: environmental scanning techniques; micro_concept not allowed for chapter: environmental scanning techniques,subtopic not allowed for chapter: environmental scanning techniques; micro_concept not allowed for chapter: environmental scanning techniques,Which of the following techniques is not used for environmental scanning?
cq_000210_1790d7d51a,Nature and Significance of Management,coordination,definition-based,easy,Coordination,coordination,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: coordination,Nature and Significance of Management :: coordination,Nature and Significance of Management :: coordination,Nature and Significance of Management :: coordination,0.97,taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation,,"Which of the following are the importance of delegation?

(A) Effective management

(B) Better coordination

(C) Motivation of employees

(D) Integrate employee-efforts

Choose the <b>correct</b> answer from the options given below:"
cq_000211_1e8a4fe8ec,Financial Management,Profitability Ratios,definition-based,easy,Profitability Ratios,Profitability Ratios,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Financial Management :: Profitability Ratios,Principles of Management :: Fayol principles,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter; taxonomy mismatch: unknown chapter,unknown chapter,What is the full form of EBIT?
cq_000212_a0c4e5df8a,Business Finance,Owners' Funds,definition-based,easy,Owners' Funds,Owners' Funds,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Finance :: Owners' Funds,Business Finance :: financing decision,Business Finance :: financial planning,Business Finance :: financial planning,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: Owners' Funds; taxonomy mismatch: subtopic not allowed for chapter: Owners' Funds; taxonomy mismatch: subtopic not allowed for chapter: Owners' Funds; taxonomy mismatch: subtopic not allowed for chapter: Owners' Funds; taxonomy mismatch: subtopic not allowed for chapter: Owners' Funds; taxonomy mismatch: subtopic not allowed for chapter: Owners' Funds; taxonomy mismatch: subtopic not allowed for chapter: Owners' Funds; micro_concept not allowed for chapter: Owners' Funds; taxonomy mismatch: subtopic not allowed for chapter: Owners' Funds; micro_concept not allowed for chapter: Owners' Funds,subtopic not allowed for chapter: Owners' Funds; micro_concept not allowed for chapter: Owners' Funds,Which of the following cannot be termed as owners' funds?
cq_000213_453e668db5,Consumer Protection,consumer products,definition-based,easy,Consumer Products,consumer products,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Consumer Protection :: consumer products,Directing :: communication,Consumer Protection :: importance,Consumer Protection :: importance,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: consumer products; micro_concept not allowed for chapter: purchased; taxonomy mismatch: subtopic not allowed for chapter: consumer products; micro_concept not allowed for chapter: purchased; taxonomy mismatch: subtopic not allowed for chapter: consumer products; micro_concept not allowed for chapter: purchased; taxonomy mismatch: subtopic not allowed for chapter: consumer products; micro_concept not allowed for chapter: purchased; taxonomy mismatch: subtopic not allowed for chapter: consumer products; micro_concept not allowed for chapter: purchased; taxonomy mismatch: subtopic not allowed for chapter: consumer products; micro_concept not allowed for chapter: purchased; taxonomy mismatch: subtopic not allowed for chapter: consumer products; micro_concept not allowed for chapter: consumer products; taxonomy mismatch: subtopic not allowed for chapter: consumer products; micro_concept not allowed for chapter: consumer products,subtopic not allowed for chapter: consumer products; micro_concept not allowed for chapter: consumer products,Which of the following is a consumer product?
cq_000217_7fd87c158c,Planning,Budgeting,feature-identification,easy,Budgeting,Budgeting,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Planning :: Budgeting,Nature and Significance of Management :: features of management,Planning :: types of plans,Planning :: types of plans,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: Budgeting; taxonomy mismatch: subtopic not allowed for chapter: Budgeting; taxonomy mismatch: subtopic not allowed for chapter: Budgeting; taxonomy mismatch: subtopic not allowed for chapter: Budgeting; taxonomy mismatch: subtopic not allowed for chapter: Budgeting; taxonomy mismatch: subtopic not allowed for chapter: Budgeting; taxonomy mismatch: subtopic not allowed for chapter: Budgeting; taxonomy mismatch: subtopic not allowed for chapter: Budgeting,subtopic not allowed for chapter: Budgeting,"Which of the following are important features of the 'Budget'?

(A) The budget is a single-use plan containing expected results in theoretical terms only.

(B) Budgets may be expressed in terms of time, materials or other suitable units capable of numerical expression.

(C) The budget is a plan which quantifies future facts and figures.

(D) The budget projects the expected revenues and expenses for a given period.

Choose the correct answer from the options given below:"
cq_000218_53f797a894,Nature and Significance of Management,meaning and objectives,principle-identification,easy,Meaning And Objectives,meaning and objectives,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,0.99,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"""Management is the process of working with and through others to effectively achieve organisational objectives by efficiently using limited resources in the changing environment."". Who gave this definition of management?"
cq_000220_9d0f790240,Business Environment,dimensions,match-the-following,medium,Dimensions,dimensions,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Business Environment :: dimensions,Business Environment :: dimensions,Business Environment :: dimensions,Business Environment :: dimensions,0.99,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Dimensions of Business Environment <th>Examples </th> | Examples |
| --- | --- |
| (A) Economic Environment | (I) Forces like customs, traditions and values |
| (B) Political Environment | (II) Use of Artificial Intelligence in business |
| (C) Technological Environment | (III) Policy of RBI to curb inflation |
| (D) Social Environment | (IV) Promotion of Make in India by government |

Choose the <b>correct</b> answer from the options given below:"
cq_000221_c89a4e73bc,Staffing,training and development,definition-based,easy,Training And Development,recruitment,0.82,,Staffing :: recruitment,Staffing :: training and development,Staffing :: training and development,Staffing :: training and development,0.69,confidence=0.69; agreement=3/4,,Which of the following relates to the recruitment process?
cq_000224_de05ae82a5,Principles of Management,Fayol principles,principle-identification,easy,Fayol Principles,Fayol principles,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Principles of Management :: Fayol principles,Principles of Management :: Fayol principles,Principles of Management :: Taylor scientific management,Principles of Management :: Taylor scientific management,0.51,confidence=0.51; agreement=2/4; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy,,Who is known as the father of general management?
cq_000225_850d0c5fb9,Controlling,relationship with planning,feature-identification,easy,Relationship With Planning,relationship with planning,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Controlling :: relationship with planning,Nature and Significance of Management :: meaning and objectives,Controlling :: relationship with planning,Controlling :: relationship with planning,0.8,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,Which of the following is the feature of planning?
cq_000227_6b9bff692b,Directing,meaning and importance,definition-based,easy,Meaning And Importance,directing,0.82,,Directing :: meaning and importance,Marketing :: marketing mix,Directing :: meaning and importance,Directing :: meaning and importance,0.51,confidence=0.51; agreement=3/4,,What was the result of Rajesh's efforts?
cq_000228_cb6d4b8f10,Planning,meaning and features,definition-based,easy,Meaning And Features,planning,0.82,,Planning :: meaning and features,Consumer Protection :: consumer rights,Planning :: meaning and features,Planning :: meaning and features,0.6,confidence=0.60; agreement=3/4,,What was the primary issue at ABC Manufacturing Ltd.?
cq_000233_6afd766b56,Controlling,meaning and importance,definition-based,easy,Meaning And Importance,meaning and importance,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Controlling :: meaning and importance,Staffing :: training and development,Controlling :: meaning and importance,Controlling :: meaning and importance,0.51,confidence=0.51; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training; taxonomy mismatch: micro_concept not allowed for chapter: training,,What corrective action was taken for warehouse operations?
cq_000235_825556e424,Marketing,marketing meaning,definition-based,easy,Marketing Meaning,marketing,0.82,,skipped_or_unavailable,Marketing :: marketing meaning,Marketing :: marketing meaning,Marketing :: marketing meaning,0.68,confidence=0.68; agreement=4/4,,What caused the delivery delays?
cq_000236_3bc7bab70b,Controlling,meaning and importance,definition-based,easy,Meaning And Importance,meaning and importance,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Controlling :: meaning and importance,Controlling :: meaning and importance,Controlling :: meaning and importance,Controlling :: meaning and importance,0.77,taxonomy mismatch: micro_concept not allowed for chapter: factors; taxonomy mismatch: micro_concept not allowed for chapter: factors; taxonomy mismatch: micro_concept not allowed for chapter: factors; taxonomy mismatch: micro_concept not allowed for chapter: factors; taxonomy mismatch: micro_concept not allowed for chapter: factors; taxonomy mismatch: micro_concept not allowed for chapter: factors,,Identify the main cause of the deviation that occured in the organisation.
cq_000237_b458c47a82,Business Environment,importance of environment,definition-based,easy,Importance Of Environment,environment,0.82,,Business Environment :: importance of environment,Staffing :: staffing process,Business Environment :: importance of environment,Business Environment :: importance of environment,0.47,confidence=0.47; agreement=3/4,,_________ system keeps a careful check on the changes taking place in the organization and in the environment and helps to review and revise the standards in light of such changes.
cq_000239_bd39c022b6,Nature and Significance of Management,coordination,definition-based,easy,Coordination,coordination,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: coordination,Nature and Significance of Management :: coordination,Nature and Significance of Management :: coordination,Nature and Significance of Management :: coordination,0.99,taxonomy mismatch: micro_concept not allowed for chapter: leadership style; taxonomy mismatch: micro_concept not allowed for chapter: leadership style; taxonomy mismatch: micro_concept not allowed for chapter: leadership style; taxonomy mismatch: micro_concept not allowed for chapter: leadership style; taxonomy mismatch: micro_concept not allowed for chapter: leadership style; taxonomy mismatch: micro_concept not allowed for chapter: leadership style,,Which of the following is termed as the 'Essence of Management'?
cq_000240_55d791ded8,Organising,importance,definition-based,easy,Importance,division of work,0.82,,Organising :: importance,Nature and Significance of Management :: functions of management,Organising :: importance,Organising :: importance,0.67,confidence=0.67; agreement=3/4,,"""Benefits of Specialisation"" is one of the importances of:"
cq_000242_e8f6cb2024,Entrepreneurship Development,process,chronology/process order,easy,Process,process,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Entrepreneurship Development :: process,Entrepreneurship Development :: process,Entrepreneurship Development :: process,Entrepreneurship Development :: process,0.95,taxonomy mismatch: micro_concept not allowed for chapter: development; taxonomy mismatch: micro_concept not allowed for chapter: development; taxonomy mismatch: micro_concept not allowed for chapter: development; taxonomy mismatch: micro_concept not allowed for chapter: development; taxonomy mismatch: micro_concept not allowed for chapter: development; taxonomy mismatch: micro_concept not allowed for chapter: development,,"Arrange the following steps involved in setting up a business in a logical order.
(A) Resource Mobilisation
(B) Development of Product/Service idea
(C) Environmental scanning for entrepreneurial opportunities
(D) Assessment of feasibility of the idea and preparation of a business plan
Choose the correct answer from the options given below:"
cq_000243_157dccd9eb,Principles of Management,Taylor scientific management,principle-identification,easy,Taylor Scientific Management,scientific management,0.82,,Principles of Management :: Classical Management Theories,Principles of Management :: Taylor scientific management,Principles of Management :: Taylor scientific management,Principles of Management :: Taylor scientific management,0.63,confidence=0.63; agreement=3/4,,Which of the following schools of thought of management is NOT referred to as the 'Classical' school?
cq_000244_cd1ca19e27,Marketing,marketing meaning,feature-identification,easy,Marketing Meaning,price mix,0.82,,Marketing :: Marketing Mix (Product),Marketing :: marketing meaning,Marketing :: marketing meaning,Marketing :: marketing meaning,0.61,confidence=0.61; agreement=3/4,,"Which of the following refers to a complete offer for a product or service, having given features like size, quality, taste, etc; at a certain price; available at a given outlet or location and so on?"
