source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review,normalized_question_key,exact_question_hash,canonical_question_id,source_tier,source_weight,year_weight,weighted_frequency_score,recency_weighted_score,duplicate_group_size,duplicate_source_urls
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7bc,15,Which of the following are the principles of Directing?,,,"Leadership, unity of direction, delegation, maximum individual contribution","Unity of command, departmentalization, identifying alternative courses, follow through","Delegation, selection, appropriateness of direction technique, managerial communication","Appropriateness of direction technique, harmony of objectives, use of informal organization, managerial communication",D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,meaning and importance,"directing, leadership, communication",Directing :: meaning and importance,0.73,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,which of the following are the principles of directing leadership unity of direction delegation maximum individual contribution unity of command departmentalization identifying alternative courses follow through delegation selection appropriateness of direction technique managerial communication appropriateness of direction technique harmony of objectives use of informal organization managerial communication,4eac2014b8f973537fda3985,cq_000351_4eac2014b8,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7c0,16,"It is often advised that, in a quest to control everything, it may often result in controlling nothing. Which concept of management is being referred to here?",,,Management by perfection,Task management,Management by exception,Impoverished management,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VIII,Controlling,control process,management by exception,Controlling :: control process,0.5,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,it is often advised that in a quest to control everything it may often result in controlling nothing which concept of management is being referred to here management by perfection task management management by exception impoverished management,e0195c9ee9f914372d211012,cq_000352_e0195c9ee9,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7c4,17,"""A footwear company has already measured its quantifiable and qualitative goals"". Identify the step of the controlling process highlighted in the aforesaid statement.",,,Analysing deviations,Taking corrective action,Comparing actual performance with standards,Measurement of actual performance,D,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit VIII,Controlling,meaning and importance,"controlling, standards, deviation, corrective action",Controlling :: meaning and importance,0.83,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,a footwear company has already measured its quantifiable and qualitative goals identify the step of the controlling process highlighted in the aforesaid statement analysing deviations taking corrective action comparing actual performance with standards measurement of actual performance,ed34be5b1980eeef1a9d9201,cq_000353_ed34be5b19,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7c8,18,"""A firm offering free deodorant on purchase of a makeup kit"". Which element of promotion mix is highlighted in this statement?",,,Advertising,Personal Selling,Sales Promotion,Public relations,C,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit X,Marketing,promotion,"promotion, advertising, personal selling, sales promotion, public relations",Marketing :: promotion,0.89,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,a firm offering free deodorant on purchase of a makeup kit which element of promotion mix is highlighted in this statement advertising personal selling sales promotion public relations,36b1cc7acfad456460cb3387,cq_000354_36b1cc7acf,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7cc,19,The components of physical distribution are:,,,"Warehousing, transportation and feedback","Order-processing, inventory control, warehousing and transportation","Promoting, transporting and warehousing","Labelling, transporting and feedback",B,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit X,Marketing,channels of distribution,physical distribution,Marketing :: channels of distribution,0.43,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,the components of physical distribution are warehousing transportation and feedback order processing inventory control warehousing and transportation promoting transporting and warehousing labelling transporting and feedback,b4e16a9ce8670b3c97577e3d,cq_000355_b4e16a9ce8,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7d0,20,"On Sundays, Shyam, an executive working with an MNC, enjoys, interacts and plays cricket at a ground with his subordinates as well as superiors. What type of communication is being referred to here?",,,Formal communication,Transit communication,Fellow communication,Informal communication,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,communication,"communication, formal communication, informal communication",Directing :: communication,0.74,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,on sundays shyam an executive working with an mnc enjoys interacts and plays cricket at a ground with his subordinates as well as superiors what type of communication is being referred to here formal communication transit communication fellow communication informal communication,3161dcd8edc9fe15091c10a6,cq_000356_3161dcd8ed,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7d4,21,"What will be the correct sequence for the steps involved in the process of controlling?

(A) Comparison of actual performance with standards

(B) Setting performance standards

(C) Analyzing deviations

(D) Measurement of actual performance

Choose the correct answer from the options given below:",,,"(B), (D), (C), (A)","(D), (C), (B), (A)","(B), (D), (A), (C)","(C), (B), (D), (A)",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VIII,Controlling,meaning and importance,"controlling, standards, deviation",Controlling :: meaning and importance,0.73,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,what will be the sequence for the steps involved in the process of controlling a comparison of actual performance with standards b setting performance standards c analyzing deviations d measurement of actual performance choose the from the options given below b d c a d c b a b d a c c b d a,56fa8426db86f4250c1bb724,cq_000357_56fa8426db,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7d8,22,The concept where subordinates perform tasks on behalf of the manager reducing his/her workload and providing more time to the manager to concentrate on important matters. This is called:,,,Accountability,Delegation,Decentralisation,Centralisation,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit V,Organising,delegation,"delegation, accountability",Organising :: delegation,0.6,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,the concept where subordinates perform tasks on behalf of the manager reducing his her workload and providing more time to the manager to concentrate on important matters this is called accountability delegation decentralisation centralisation,20d688c600a68fd5fba233c3,cq_000358_20d688c600,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7dc,23,"Which of the following are ""On The Job Methods"" for training?

(A) Apprenticeship programmes

(B) Case study

(C) Internship

(D) Job rotation

Choose the correct answer from the options given below:",,,"(A), (B), (C) and (D)","(A), (B) and (D) only","(A), (C) and (D) only","(B), (C) and (D) only",C,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit VI,Staffing,training and development,"training, apprenticeship, internship, job rotation, case study",Staffing :: training and development,0.9,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,which of the following are on the job methods for training a apprenticeship programmes b case study c internship d job rotation choose the from the options given below a b c and d a b and d only a c and d only b c and d only,6a0243cab11a52ed9ef4864d,cq_000359_6a0243cab1,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7e0,24,The two inseparable twins of management are:,,,Planning and organising,Planning and Controlling,Organising and planning,Controlling and budgeting,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,functions of management,"planning, organising, controlling",Nature and Significance of Management :: functions of management,0.73,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,the two inseparable twins of management are planning and organising planning and controlling organising and planning controlling and budgeting,26a30a66feff006543e0224c,cq_000360_26a30a66fe,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7e4,25,"Match List-I with List-II

| Items | Description |
|--------------|------------------------------------------------------------------------------------------------------|
| (A) Budget | (I) Future decisions defining the organisation's direction and scope to acquire a dominant position. |
| (B) Procedure | (II) A control device from which deviations can be taken care of. |
| (C) Policy | (III) Routine steps in chronological order. |
| (D) Strategy | (IV) Guide to managerial actions and decisions in the implementation of a business strategy. |

Choose the correct answer from the options given below:",,,"(A)- (II), (B) - (III), (C) (IV), (D) - (I)","(A)- (III), (B) - (I), (C) (II), (D) - (IV)","(A) (I), (B) - (II), (C) - (IV), (D) - (III)","(A) (III), (B) - (IV), (C) (I), (D) - (II)",A,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit IV,Planning,types of plans,"strategy, policy, procedure, budget",Planning :: types of plans,0.81,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,match list i with list ii items description a budget i future decisions defining the organisation s direction and scope to acquire a dominant position b procedure ii a control device from which deviations can be taken care of c policy iii routine steps in chronological order d strategy iv guide to managerial actions and decisions in the implementation of a strategy choose the from the options given below a ii b iii c iv d i a iii b i c ii d iv a i b ii c iv d iii a iii b iv c i d ii,d3bf10db05f34ddf3f0c9ad8,cq_000361_d3bf10db05,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7e8,26,"Ram, the production manager, ensures that the workers are given tasks according to their specialization. However, workers complain that Ram favors some employees over others on the grounds of their caste. Which principle of management is followed and ignored here?",,,Followed-Order; Ignored-Scalar Chain,Followed-Decentralisation; Ignored-Order,Followed-Division of Work; Ignored-Equity,Followed-Unity of Command; Ignored-Equity,C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit II,Principles of Management,Fayol principles,"division of work, unity of command, scalar chain",Principles of Management :: Fayol principles,0.82,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,ram the production manager ensures that the workers are given tasks according to their specialization however workers complain that ram favors some employees over others on the grounds of their caste which principle of management is followed and ignored here followed order ignored scalar chain followed decentralisation ignored order followed division of work ignored equity followed unity of command ignored equity,fdd9da46228a0fc4c8a84cb0,cq_000362_fdd9da4622,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7ec,27,"Arrange the following into a two-level channel distribution network.

(A) Wholesaler

(B) Customer

(C) Retailer

(D) Manufacturer

Choose the correct answer from the options given below:",,,"(B), (D), (C), (A)","(A), (C), (D), (B)","(B), (A), (C), (D)","(D), (A), (C), (B)",D,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit X,Marketing,channels of distribution,"wholesaler, retailer",Marketing :: channels of distribution,0.63,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,arrange the following into a two level channel distribution network a wholesaler b customer c retailer d manufacturer choose the from the options given below b d c a a c d b b a c d d a c b,6f8258876cfde6a62ca5bd5d,cq_000363_6f8258876c,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7f0,28,$32,,,"(A)- (II), (B) - (I), (C) - (IV), (D) - (III)","(A)- (I), (B) - (III), (C) - (II), (D) - (IV)","(A)- (I), (B) - (II), (C) (IV), (D) - (III)","(A)- (III), (B) - (IV), (C) - (I), (D) - (II)",A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,,,,,unclassified,0.0,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,yes,32 a ii b i c iv d iii a i b iii c ii d iv a i b ii c iv d iii a iii b iv c i d ii,fbaa81be59a0bf07ace6cef8,cq_000364_fbaa81be59,structured_pyq_site,0.65,1.0,0.65,0.65,2,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-14 | https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b08d0d1dee163ea7f4,29,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Consumer rights | Meaning |
| (A) Right to be heard | (I) Right to acquire knowledge and to be a well informed consumer throughout life. |
| (B) Right to seek redressal | (II) The consumer has the right to file complaint with the organisation in case of dissatisfaction with a good or serrvice. |
| (C) Right to consumer education | (III) The consumer has the right to be protected against goods and services which are hazardous to life and health. |
| (D) Right to safety | (IV) The consumer has a right to get relief if the product falls short of their expectations. |

Choose the correct answer from the options given below:",,,"(A) - (II), (B) - (IV), (C) - (I), (D) - (III)","(A) - (I), (B) - (IV), (C) - (II), (D) - (III)","(A) - (I), (B) - (II), (C) - (IV), (D) - (III)","(A) - (III), (B) - (IV), (C) - (I), (D) - (II)",A,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit XI,Consumer Protection,consumer rights,"right to safety, right to be heard, right to seek redressal, right to consumer education",Consumer Protection :: consumer rights,0.93,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,match list i with list ii list i list ii consumer rights meaning a right to be heard i right to acquire knowledge and to be a well informed consumer throughout life b right to seek redressal ii the consumer has the right to file complaint with the organisation in case of dissatisfaction with a good or serrvice c right to consumer education iii the consumer has the right to be protected against goods and services which are hazardous to life and health d right to safety iv the consumer has a right to get relief if the product falls short of their expectations choose the from the options given below a ii b iv c i d iii a i b iv c ii d iii a i b ii c iv d iii a iii b iv c i d ii,fbdf83e98ccf9cc493bcbd2a,cq_000365_fbdf83e98c,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea7f8,30,A cosmetic firm has been in personal care business for the past 30 years. Now the firm wants to diversify its operations across India by venturing into the garment and footwear segments. The organizational structure suitable in this case would be:,,,Line structure,Functional structure,Divisional structure,Informal structure,C,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit V,Organising,organisation structure,"functional structure, divisional structure",Organising :: organisation structure,0.64,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,a cosmetic firm has been in personal care for the past 30 years now the firm wants to diversify its operations across india by venturing into the garment and footwear segments the organizational structure suitable in this case would be line structure functional structure divisional structure informal structure,57d6634b3f711996d28c825f,cq_000366_57d6634b3f,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea7fc,31,"The characteristic of entrepreneurship are:

(A) Innovation and Creativity

(B) Resistance to change

(C) Risk taking

(D) Lawful and purposeful activity

Choose the correct answer from the options given below:",,,"(A), (C) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)",(A) and (D) only,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XII,Entrepreneurship Development,concept and functions,"entrepreneurship, entrepreneur, innovation",Entrepreneurship Development :: concept and functions,0.75,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,the characteristic of entrepreneurship are a innovation and creativity b resistance to change c risk taking d lawful and purposeful activity choose the from the options given below a c and d only a b and c only a b c and d a and d only,fb1024f5bf13538e92bfe960,cq_000367_fb1024f5bf,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea800,32,A leader has the viewpoint that reward or punishment can both be given based on the result achieved.<br/>What type of leadership is this?,,,Participative leadership,Autocratic leadership,Laissez faire leadership,Charismatic leadership,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,leadership,"leadership, leader, autocratic, laissez faire",Directing :: leadership,0.84,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,a leader has the viewpoint that reward or punishment can both be given based on the result achieved br what type of leadership is this participative leadership autocratic leadership laissez faire leadership charismatic leadership,3fa4d62c5412caaf31a8dc9b,cq_000368_3fa4d62c54,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea804,33,"In an IT firm, there are separate departments for planning, operations and marketing. Each department functions independently, and has its own head. All departments report to their coordinating head, ensuring that different functions get the due attention. Which type of organization structure is this?",,,Line structure,Divisional structure,Informal structure,Functional structure,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit V,Organising,organisation structure,"functional structure, divisional structure",Organising :: organisation structure,0.65,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,in an it firm there are separate departments for planning operations and marketing each department functions independently and has its own head all departments report to their coordinating head ensuring that different functions get the due attention which type of organization structure is this line structure divisional structure informal structure functional structure,55dec0a25c39f6355828a171,cq_000369_55dec0a25c,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea808,34,"What will be the correct order for the process by which a person can share a message with the receiver?

(A) The source of communication who conveys his/her thoughts.

(B) Encoding of message.

(C) The channel through which the messages are transmitted to the receiver.

(D) Ideas, feelings and suggestions to be communicated.

Choose the correct answer from the options given below:",,,"(A), (D), (B), (C)","(A), (C), (B), (D)","(B), (D), (C), (A)","(C), (B), (D), (A)",A,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VII,Directing,communication,"communication, encoding",Directing :: communication,0.62,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,what will be the order for the process by which a person can share a message with the receiver a the source of communication who conveys his her thoughts b encoding of message c the channel through which the messages are transmitted to the receiver d ideas feelings and suggestions to be communicated choose the from the options given below a d b c a c b d b d c a c b d a,0e5b17b48cff6f1074ed9817,cq_000370_0e5b17b48c,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea80c,35,A firm is facing difficulties managing the expenses of day-to-day operations. Which decision has the company ignored here?,,,Dividend decision,Investment decision,Working Capital decision,Solvency decision,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,investment decision,investment decision,Business Finance :: investment decision,0.42,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,a firm is facing difficulties managing the expenses of day to day operations which decision has the company ignored here dividend decision investment decision working capital decision solvency decision,f543ec4ee71f9f960bda6266,cq_000371_f543ec4ee7,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea810,36,There is an increase in profit earned by equity shareholders because of the presence of fixed financial charges. This concept is:,,,Trading on debt,Trading on equity,Trading on fixed capital,Operating leverage,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,"debt, equity",Business Finance :: financing decision,0.66,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,there is an increase in profit earned by equity shareholders because of the presence of fixed financial charges this concept is trading on debt trading on equity trading on fixed capital operating leverage,01edb7f4a78e4448beef64eb,cq_000372_01edb7f4a7,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea814,37,Vaibhav applied to a software firm as a software developer. He passed the written exam and went through several rounds of tests and interviews. The company was testing his performance and the potential of his knowledge. Which aspect of staffing is being referred to here?,,,Recruitment,Selection,Supervision,Training and Development,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,staffing process,"recruitment, selection, training",Staffing :: staffing process,0.75,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,vaibhav applied to a software firm as a software developer he passed the written exam and went through several rounds of tests and interviews the company was testing his performance and the potential of his knowledge which aspect of staffing is being referred to here recruitment selection supervision training and development,612ac6859d032ccfac0db148,cq_000373_612ac6859d,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea818,38,The primary aim of financial management is:,,,Profit maximisation,Sales maximization,Production maximization,Wealth maximization,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financial management,"financial management, profit maximisation",Business Finance :: financial management,0.69,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,the primary aim of financial management is profit maximisation sales maximization production maximization wealth maximization,5b5ef3215440026722789d8f,cq_000374_5b5ef32154,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea81c,39,The optimal combination of various sources of funds for a business is called:,,,Capital structure,Financial planning,Investment structure,Stock structure,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,capital structure,Business Finance :: financing decision,0.51,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,the optimal combination of various sources of funds for a is called capital structure financial planning investment structure stock structure,de2aa40effa76b9e2efff0b0,cq_000375_de2aa40eff,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1.0,15 May Shift 1,692009b18d0d1dee163ea820,40,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Marketing mix component | Meaning |
| --- | --- |
| (A) Price | (I) Decisions related to features, quality, packaging etc. |
| (B) Place | (II) Activities that communicate features of a product to target customer. |
| (C) Product | (III) Decisions related to discounts to customers, traders etc. |
| (D) Promotion | (IV) Decisions related to selection of dealers or intermediaries etc. |

Choose the correct answer from the options given below:",,,"(A)- (III), (B) - (IV), (C) (I), (D) - (II)","(A)- (I), (B) - (III), (C) - (II), (D) - (IV)","(A)- (I), (B) - (II), (C) - (IV), (D) - (III)","(A)- (II), (B) - (III), (C) (IV), (D) - (I)",A,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit X,Marketing,marketing mix,"marketing mix, product, price, place, promotion",Marketing :: marketing mix,0.89,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no,match list i with list ii list i list ii marketing mix component meaning a price i decisions related to features quality packaging etc b place ii activities that communicate features of a product to target customer c product iii decisions related to discounts to customers traders etc d promotion iv decisions related to selection of dealers or intermediaries etc choose the from the options given below a iii b iv c i d ii a i b iii c ii d iv a i b ii c iv d iii a ii b iii c iv d i,14d671dc3ed95538f56c029a,cq_000376_14d671dc3e,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5
