source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1,15 May Shift 1,692009b18d0d1dee163ea834,45,Which action by the company primarily addresses the physiological needs as per Maslow's theory?,"TechNext Corporation, a leading global technology company, prides itself on providing an employee-centric culture that aligns with Maslow's hierarchy of needs. The company offers state-of-the-art office spaces with ergonomic furniture, recreational zones, nap pods and complimentary meals. It offers advanced training programs, creative freedom for employees to pursue innovative projects and funding for personal development and fulfillment initiatives. Beyond this, TechNext emphasizes protection of employees by providing competitive salaries, stock options and health insurance. To promote employee efforts, they offer initiatives like awards for outstanding performance, public appreciation in company-wide meetings and opportunities for internal career progression and recognition in the company. Furthermore, the company offers team building events, acceptance programs and off-site activities for a sense of belongingness.

Despite these efforts, challenges remain in the corporation.","TechNext Corporation, a leading global technology company, prides itself on providing an employee-centric culture that aligns with Maslow's hierarchy of needs. The company offers state-of-the-art office spaces with ergonomic furniture, recreational zones, nap pods and complimentary meals. It offers advanced training programs, creative freedom for employees to pursue innovative projects and funding for personal development and fulfillment initiatives. Beyond this, TechNext emphasizes protection of employees by providing competitive salaries, stock options and health insurance. To promote employee efforts, they offer initiatives like awards for outstanding performance, public appreciation in company-wide meetings and opportunities for internal career progression and recognition in the company. Furthermore, the company offers team building events, acceptance programs and off-site activities for a sense of belongingness.

Despite these efforts, challenges remain in the corporation.",Providing opportunities for internal career growth,Offering meals and comfortable office furniture,Hosting team building events,Recognizing employees publicly for their achievements.,B,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit VII,Directing,Maslow hierarchy,"maslow, physiological, belongingness",Directing :: Maslow hierarchy,0.71,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1,15 May Shift 1,692009b28d0d1dee163ea838,46,Dynamic Horizon faced instability and an unfavorable attitude from the government. Which dimension of the business environment is reflected in this statement?,$33,$33,Political environment,Legal environment,Social environment,Economic environment,A,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit III,Business Environment,dimensions,"economic environment, social environment, political environment, legal environment",Business Environment :: dimensions,0.88,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1,15 May Shift 1,692009b28d0d1dee163ea83c,47,The advancement of smartwatches using artificial intelligence is a part of which dimension of the business environment?,$34,$34,Economic environment,Technological environment,Social environment,Political environment,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit III,Business Environment,dimensions,"economic environment, social environment, technological environment, political environment",Business Environment :: dimensions,0.88,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1,15 May Shift 1,692009b28d0d1dee163ea840,48,It is also imperative for the management of the enterprise to obey the law of the land. Which dimension of the business environment is reflected in this statement?,$35,$35,Economic,Legal,Political,Technological,B,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit III,Business Environment,dimensions,,Business Environment :: dimensions,0.54,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1,15 May Shift 1,692009b28d0d1dee163ea844,49,"The company's decision to modify product design according to European customers reflects which characteristic of
business environment?",$36,$36,Uncertainity,Relativity,Inter-relatedness,Complexity,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit III,Business Environment,meaning and features,"business environment, complexity",Business Environment :: meaning and features,0.64,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,1,15 May Shift 1,692009b28d0d1dee163ea848,50,The fluctuations in raw material cost and transportation expenses is due to which dimension of business environment?,$37,$37,Social dimension,Political dimension,Legal dimension,Economic dimension,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit III,Business Environment,dimensions,,Business Environment :: dimensions,0.54,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_80478ab0352bbd76.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009efa573d5f9abb9dc58,1,"When Span of Management Increases, the number of levels of Management in the Organisation:",,,Remains same,Increases,Decreases,Will multiply,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,levels of management,levels of management,Nature and Significance of Management :: levels of management,0.49,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009efa573d5f9abb9dc5c,2,Ms. Sonia is running her own boutique in a posh locality of Delhi on a large scale. She respects the opinions of her hired designers and supports them to perform their duties and accomplish organizational objectives. The type of leadership style adopted by her is:,,,Paternalistic,Authoritarian,Free-rein,Participative,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,leadership,"leadership, leader",Directing :: leadership,0.58,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009efa573d5f9abb9dc60,3,"Due to the carelessness of surgeon, Harish passed away within a weekâs time after his spine surgery. Who cannot file a case in this case?",,,The Consumer,Any Registered Consumer Association,A legal heir of the deceased consumer,Legal Representative of deceased,A,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit XI,Consumer Protection,consumer rights,,Consumer Protection :: consumer rights,0.29,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,yes
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009efa573d5f9abb9dc64,4,"""ABC Ltd. sells products through company-approved retailers."" Identify the type of channel of distribution in this case.",,,Zero level Channel,One level Channel,Two level Channel,Three level Channel,B,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit X,Marketing,channels of distribution,"channel of distribution, retailer",Marketing :: channels of distribution,0.64,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc68,5,Which Organisational structure facilitates occupational specialization?,,,Horizontal structure,Network Structure,Functional Structure,Divisional Structure,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit V,Organising,organisation structure,"functional structure, divisional structure",Organising :: organisation structure,0.64,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc6c,6,Which of the following is not a characteristic of entrepreneurship?,,,Setting objectives,Innovation,Lawful and purposeful activity,Systematic activity,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XII,Entrepreneurship Development,concept and functions,"entrepreneurship, entrepreneur, innovation",Entrepreneurship Development :: concept and functions,0.73,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc70,7,Which financial decision relates to committing the company's finances on a long term basis to different assets?,,,Capital structure decision,Financing Decision,Capital Budgeting decision,Working Capital Decision,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,"financing decision, capital structure",Business Finance :: financing decision,0.65,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc74,8,Which of the following statements is true regarding the nature of Principles of Management:,,,They are rigid in nature,They are flexible in nature,They provide a straight jacket solution,They are absolute in nature,B,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit II,Principles of Management,nature of principles,"principles of management, flexible",Principles of Management :: nature of principles,0.66,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc78,9,Identify the Element of Promotion Mix in this case.,"Tara Ltd is contacting the prospective buyers through its salesmen, who are creating awareness about their new range of products in Cosmetics.","Tara Ltd is contacting the prospective buyers through its salesmen, who are creating awareness about their new range of products in Cosmetics.",Public relations,Sales Promotion,Personal Selling,Advertisement,C,AfterBoards CUET Business Studies PYQs linked file,case-based,medium,Unit X,Marketing,promotion,"promotion, personal selling, sales promotion, public relations",Marketing :: promotion,0.84,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc7c,10,"The factors affecting choice of capital structure are:

<ol type=""A"">
 <li>Cash flow position</li>
 <li>Tax Rate</li>
 <li>Nature of Business</li>
 <li>Cost of debt</li>
</ol>

Choose the correct answer from the options given below:",,,"(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,"capital structure, debt",Business Finance :: financing decision,0.67,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc80,11,"Match List-I with List-II

| List-I<br>(Examples) | List-II<br>(Types of products) |
| --- | --- |
| (A) Ice cream, medicine, newspaper | (I) Industrial products |
| (B) Clothes, shoes, jewellery | (II) Shopping products |
| (C) Rare collection of artwork, antiques | (III) Specialty products |
| (D) Raw materials, machines, tools | (IV) Convenience products |

Choose the correct answer from the options given below:",,,"(A) - (IV), (B) (II), (C) - (III), (D) - (I)","(A) - (I), (B) - (III), (C) - (II), (D) - (IV)","(A) (I), (B) - (II), (C) - (IV), (D) - (III)","(A) - (III), (B) - (IV), (C) - (I), (D) - (II)",A,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit IX,Business Finance,working capital,raw material,Business Finance :: working capital,0.38,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc84,12,"At which level of Management, does Directing take place in the organization?",,,Top level,Middle level,Lower level,At all levels of Management,D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,levels of management,"top level, middle level, levels of management",Nature and Significance of Management :: levels of management,0.80,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc88,13,"""Workers of ABC Ltd were chit-chatting in their canteen about the behavior of their superior"". This is an example of:",,,Formal communication,Grapevine comunication,Personal barrier of communication,Organisational barrier,B,AfterBoards CUET Business Studies PYQs linked file,application,easy,Unit VII,Directing,communication,"communication, formal communication, organisational, personal",Directing :: communication,0.83,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc8c,14,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (Examples) | (Types of products) |
| (A) Identification given to Product | (I) Trademark |
| (B) Part of Brand which can be spoken out | (II) Brand Mark |
| (C) Part of the brand which cannot be spoken out | (III) Brand Name |
| (D) Registered brand name | (IV) Brand |

Choose the correct answer from the options given below:",,,"(A) - (I), (B) - (II), (C) - (III), (D) - (IV)","(A) - (IV), (B) - (III), (C) - (II), (D) - (I)","(A) - (I), (B) - (II), (C) - (IV), (D) - (III)","(A) - (III), (B) - (IV), (C) - (I), (D) - (II)",B,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit X,Marketing,product,"product, brand name, brand mark, trademark",Marketing :: product,0.83,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc90,15,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (A) Mix between owners fund and borrowed fund | (I) Financial risk |
| (B) Inability of business to meet its obligation of payment of interest | (II) Capital structure |
| (C) Proportion of debt and equity in overall capital | (III) Capital budgeting decision |
| (D) Decisions that affect the amount of assets, competitiveness and profitability of business | (IV) Financial leverage |

Choose the correct answer from the options given below:",,,"(A) - (I), (B) - (II), (C) - (III), (D) - (IV)","(A) - (I), (B) - (III), (C) - (II), (D) - (IV)","(A) - (II), (B) - (I), (C) - (IV), (D) - (III)","(A) - (III), (B) - (IV), (C) - (I), (D) - (II)",C,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit IX,Business Finance,financing decision,"capital structure, debt, equity, financial risk",Business Finance :: financing decision,0.87,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc94,16,Name the Function of Management that initiates Action in the Organisation.,,,Planning,Organising,Directing,Controlling,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,functions of management,"planning, organising, directing, controlling",Nature and Significance of Management :: functions of management,0.82,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc98,17,A firm is planning to increase its sales by 25% in the next quarter. Identify the feature of Management being highlighted.,,,Management is Goal Oriented Process,Management is Pervasive,Management is Continuous,Management is Art,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,features of management,"goal oriented, pervasive",Nature and Significance of Management :: features of management,0.67,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dc9c,18,__________ ensures availability of finance whenever needed.,,,Capital Budgeting,Capital Structure,Financial Planning,Financial leverage,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,capital structure,Business Finance :: financing decision,0.51,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dca0,19,The ends which the management seeks to achieve by its operations are:,,,Rule,Objectives,Policy,Method,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IV,Planning,types of plans,"objectives, policy, method, rule",Planning :: types of plans,0.81,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dca4,20,"Identify the correct sequence of needs as per Maslow's Need Hierarchy Theory:
<ol type='A'>
 <li>Safety and Security Needs</li>
 <li>Physiological Needs</li>
 <li>Esteem Needs</li>
 <li>Affiliation Needs</li>
</ol>
Choose the correct answer from the options given below:",,,"(A), (B), (C), (D)","(A), (C), (B), (D)","(B), (A), (D), (C)","(C), (B), (D), (A)",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VII,Directing,Maslow hierarchy,"maslow, physiological, safety, esteem",Directing :: Maslow hierarchy,0.81,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dca8,21,"Factors affecting the working capital requirement are:

(A) Nature of Business

(B) Seasonal factors

(C) Credit availed

(D) Stock market conditions

Choose the correct answer from the options given below:",,,"(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,fixed capital,nature of business,Business Finance :: fixed capital,0.51,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dcac,22,"### Match ListâI with ListâII

| ListâI | ListâII |
|----------------------------------------------------------|------------------------|
| (A) No worker should be unduly favoured | (I) Equity |
| (B) Right material should be placed at right place | (II) Stability of Personnel |
| (C) Employees should not be transferred so frequently | (III) Order |
| (D) Manager should replace ""I"" with ""We"" in all his conversations | (IV) Esprit de Corps |

**Choose the correct answer from the options given below:**",,,"(A) - (I), (B) - (II), (C) - (III), (D) - (IV)","(A) - (I), (B) - (III), (C) - (II), (D) - (IV)","(A) - (I), (B) - (II), (C) - (IV), (D) - (III)","(A) - (III), (B) - (IV), (C) - (I), (D) - (II)",B,AfterBoards CUET Business Studies PYQs linked file,match-the-following,hard,Unit II,Principles of Management,Fayol principles,esprit de corps,Principles of Management :: Fayol principles,0.49,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dcb0,23,"""A notice is placed on the notice board of the firm specifying the details of the jobs available"". This source of recruitment is:",,,Casual callers,Advertisement,Direct recruitment,Labour contractors,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,recruitment,advertisement,Staffing :: recruitment,0.38,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dcb4,24,"Arrange the steps in Controlling Process in correct sequence:

<ol>
<li>(A) Analysing Deviations</li>

<li>(B) Measurement of Actual Performance</li>

<li>(C) Setting Performance Standards</li>

<li>(D) Comparing actual performance with Standards</li>
</ol>

Choose the correct answer from the options given below:",,,"(A), (B), (C), (D)","(A), (C), (B), (D)","(B), (A), (D), (C)","(C), (B), (D), (A)",D,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VIII,Controlling,control process,"setting performance standards, analysing deviations",Controlling :: control process,0.74,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dcb8,25,"Identify the correct sequence of steps in the Planning Process:

(A) Evaluating alternative courses

(B) Implementing the plan

(C) Selecting an alternative

(D) Follow-up action

Choose the correct answer from the options given below:",,,"(A), (B), (C), (D)","(A), (C), (B), (D)","(B), (A), (D), (C)","(C), (B), (D), (A)",B,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit IV,Planning,planning process,"selecting an alternative, follow up",Planning :: planning process,0.72,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dcbc,26,Name the Financial Decision which determines the capital structure of the company.,,,Investment Decision,Financing Decision,Dividend Decision,Capital Budgeting Decision,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,"financing decision, capital structure",Business Finance :: financing decision,0.67,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dcc0,27,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (Indicative explanation) | (Features and importance of planning) |
| (A) Involves looking ahead | (I) Reduces the risk of uncertainty |
| (B) Anticipate changes | (II) Mental exercise |
| (C) Activity of thinking rather than doing | (III) Futuristic |
| (D) Encourages new ideas | (IV) Innovative |

Choose the correct answer from the options given below:",,,"(A) (I), (B) (II), (C) (III), (D) - (IV)","(A) - (III), (B) - (I), (C) - (II), (D) - (IV)","(A) - (I), (B) - (II), (C) - (IV), (D) - (III)","(A) - (III), (B) (IV), (C) (I), (D) - (II)",B,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit IV,Planning,importance,importance of planning,Planning :: importance,0.62,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dcc4,28,"H.R. Manager of a firm estimated, Manpower requirements. What sequence of steps will he follow further?

(A) Placement and Orientation

(B) Selection

(C) Training and Development

(D) Recruitment

Choose the correct answer from the options given below:",,,"(A), (B), (C), (D)","(A), (C), (B), (D)","(D), (B), (A), (C)","(C), (B), (D), (A)",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VI,Staffing,staffing process,"recruitment, selection, placement, orientation, training",Staffing :: staffing process,0.89,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dcc8,29,"The factors affecting capital structure decisions are:

(A) Fiscal policy

(B) Stock market conditions

(C) Control

(D) Risk considerations

Choose the correct answer from the options given below:",,,"(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,capital structure,Business Finance :: financing decision,0.45,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dccc,30,"The Limitations of Planning are:
(A) It reduces creativity
(B) It works in a dynamic environment.
(C) It involves huge costs
(D) It is time-consuming

Choose the correct answer from the options given below:",,,"(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(A), (C) and (D) only",D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IV,Planning,limitations,"limitations of planning, dynamic environment, creativity, time consuming",Planning :: limitations,0.86,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f0a573d5f9abb9dcd0,31,"The Importance of Consumer Protection from a consumer's point of view is:

(A) Social Responsibility
(B) Widespread exploitation of Consumers
(C) Unorganized Consumers
(D) Consumer Ignorance

Choose the correct answer from the options given below:",,,"(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XI,Consumer Protection,importance,consumer protection,Consumer Protection :: importance,0.56,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dcd4,32,Which element of the product mix helps in fulfilling the Right To Information?,,,Branding,Packaging,Labelling,Trademark,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit X,Marketing,product,"product, branding, trademark, labelling, packaging",Marketing :: product,0.87,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dcd8,33,The last step in the process of selection is:,,,Job offer,Contract of employment,Selection decision,Reference checks,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VI,Staffing,selection,"selection, reference check, job offer",Staffing :: selection,0.76,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
AfterBoards CUET Business Studies PYQs linked file,2025,15 May,2,15 May Shift 2,692009f1a573d5f9abb9dcdc,34,"The final result of the Organising Process is that the structure of the Organization is created. What sequence of steps is followed by managers for this:

(A) Departmentalization

(B) Identification and Division of work

(C) Establishing reporting relationships

(D) Assignment of Duties

Choose the correct answer from the options given below:",,,"(A), (B), (C), (D)","(B), (C), (A), (D)","(B), (A), (D), (C)","(C), (B), (D), (A)",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit V,Organising,meaning and process,"organising, assignment of duties, reporting relationships",Organising :: meaning and process,0.79,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_640572d019803846.html,no
