chapter,subtopic,micro_concept,question_count,weighted_score,recency_score,example_question
Consumer Protection,consumer rights,equity,2,1.3,0.9425,"### Match ListâI with ListâII

| ListâI | ListâII |
|----------------------------------------------------------|------------------------|
| (A) No worker should be unduly favoured | (I) Equity |
| (B) Right material should be placed at right place | (II) Stability of Personnel |
| (C) Employees should not be transferred so frequently | (III) Order |
| (D) Manager should replace ""I"" with ""We"" in all his conversations | (IV) Esprit de Corps |

**Choose the correct answer from the options given below:**"
Consumer Protection,importance,price mix,2,1.3,1.3,Which of the following is not a ways/means of consumer protection?
Consumer Protection,legal redressal,financial risk,2,1.3,0.585,"According to the Consumer Protection Act 2019, identify who among the following cannot file a complaint."
Controlling,control process,discipline,2,1.3,0.8125,Which of the following is not a limitation of Controlling?
Controlling,control process,management,2,1.3,1.3,"It is often advised that, in a quest to control everything, it may often result in controlling nothing. Which concept of management is being referred to here?"
Controlling,meaning and importance,entrepreneur characteristics,2,1.3,1.3,"Controlling is important for the following reasons
(A) Judging Accuracy of Standards
(B) Ensuring creativity in the organisation
(C) Facilitating Coordination in Action
(D) Making Efficient Use of Resources

Choose the correct answer from the options given below:"
Controlling,relationship with planning,communication barriers,2,1.3,0.585,Which function of management refers to monitoring organisational performance towards the attainment of organisational goals ?
Controlling,relationship with planning,looking,2,1.3,0.585,Controlling function of management is :
Controlling,relationship with planning,types of plans,2,1.3,1.3,Which of the following is the feature of planning?
Directing,communication,entrepreneur characteristics,2,1.3,0.6825,Which quality of a leader requires that he should understand people and maintain good human relations with them
Directing,communication,formal/informal organisation,2,1.3,0.9425,Any informal communication about company and personal matters outside the official network is called:
Directing,communication,message,2,1.3,1.3,"Arrange the following stages of the communication process.

(A) The message that is intended to be communicated is converted into words.

(B) A person wants to send a message to his friend.

(C) The words that are to be conveyed in the message are converted into symbols.

(D) The message is sent as SMS

Choose the correct answer from the options given below:"
Directing,communication,place/channel,2,1.3,1.3,"What will be the correct order for the process by which a person can share a message with the receiver?

(A) The source of communication who conveys his/her thoughts.

(B) Encoding of message.

(C) The channel through which the messages are transmitted to the receiver.

(D) Ideas, feelings and suggestions to be communicated.

Choose the correct answer from the options given below:"
Directing,leadership,training,2,1.3,1.3,"Which of the following statements are correct regarding importance of leadership?

(A) Leadership influences the behaviour of people.

(B) A leader persuades people not to accept changes.

(C) A good leader does not allow his followers to ventilate their feelings.

(D) Leaders provide training to their subordinates.

Choose the correct answer from the options given below:"
Directing,supervision,leadership style,2,1.3,1.3,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (A) Supervision | (I) Process of exchange of ideas, views, facts, feelings etc |
| (B) Motivation | (II) Encouraging subordinates with zeal to work |
| (C) Leadership | (III) Direct and immediate guidance and control of subordinates |
| (D) Communication | (IV) Guiding and influencing the work of subordinates in desired direction |

 Choose the correct answer from the options given below:"
Entrepreneurship Development,concept and functions,entrepreneur characteristics,2,1.3,1.3,"The characteristic of entrepreneurship are:

(A) Innovation and Creativity

(B) Resistance to change

(C) Risk taking

(D) Lawful and purposeful activity

Choose the correct answer from the options given below:"
Entrepreneurship Development,concept and functions,leadership style,2,1.3,1.3,Which of the following is not the basic feature of an entrepreneur?
Entrepreneurship Development,entrepreneurship in India,india,2,1.3,0.9425,"""To become a chartered accountant in India, a candidate has to clear a specified examination conducted by the Institute of Chartered Accountants of India."" Which characteristic of a profession is highlighted here?"
Entrepreneurship Development,need and characteristics,delegation,2,1.3,0.585,The manager does not have confidence on his subordinates so he does not ask for any suggestions from them. Identify the type of Personal Barrier being highlighted in the above situation.
Entrepreneurship Development,need and characteristics,desire,2,1.3,1.3,"Q.21
List–I
List–II
Entrepreneurial
Motivation
Explanation"
Entrepreneurship Development,need and characteristics,entrepreneur characteristics,2,1.3,0.91,Qualities of successful entrepreneur do not include:
Marketing,marketing management philosophies,types of plans,2,1.3,0.9425,"Maya, the owner of the firm, sets production target for each day and month, in consultation with the Production Manager and supervisors. They decided that deviation between standard production and actual production up to 5% is acceptable. Deviations beyond this, should be reported. Identify the concept mentioned above."
Marketing,marketing meaning,equity,2,1.3,0.585,"Shriniwas has 2,500 equity shares of K.C.L. company. He wants to sell these shares. Identify the market which he should approach."
Marketing,marketing meaning,financial risk,2,1.3,0.6825,"The ________ segment of NSE provided on efficient and transparent platform for trading in equity, preference, debentures, exchange traded funds as well as State Government Securities."
Marketing,marketing mix,product mix,2,1.3,1.3,"Q.42
Read the passage and answer the following questions:
 
Aroma Coffee House, a boutique café, aims to expand its brand by
focusing on the marketing mix. The product is its artisanal coffee, known
for unique flavors and organic ingredients. The café ensures appealing
packaging, using recyclable and aesthetically designed coffee bags to
align with eco-conscious consumers. Its branding strategy emphasizes
sustainability and local community support, making it a trusted choice.
 
The pricing is premium, reflecting the high quality of the coffee be"
Marketing,marketing mix,types of plans,2,1.3,1.3,"""Marketing methods used"" is an important factor affecting which 'P' of marketing mix?"
Marketing,product,recruitment,2,1.3,1.3,How did Neha promote the product online?
Marketing,product,types of plans,2,1.3,1.3,What promotional strategy was used at retail outlets?
Marketing,product classification,products,2,1.3,1.3,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (Types of products) | (Examples) |
| (A) Speciality products | (I) Rare collection of artwork |
| (B) Shopping Products | (II) Furniture, clothes |
| (C) Convenience products | (III) Equipments like hand tools, installations like elevators |
| (D) Capital items | (IV) Toothpaste, medicines |

Choose the correct answer from the options given below:"
Nature and Significance of Management,coordination,division of work,2,1.3,1.3,"""All departments and individuals are interdependent and they have to depend on each other for information to perform their activities"". Identify the importance of coordination stated in the above lines?"
Nature and Significance of Management,features of a profession,features,2,1.3,1.3,"Q.26
Which of the following are identified as features of a profession?"
Nature and Significance of Management,functions of management,communication barriers,2,1.3,1.04,_________ integrates employees efforts in the organisation in such a way that every individual effort contributes to the organisational performance.
Nature and Significance of Management,functions of management,entrepreneur characteristics,2,1.3,1.3,Identify the INCORRECT statement from the following.
Nature and Significance of Management,importance of management,types of plans,2,1.3,0.9425,Which of the following statements does not highlight the importance of management?
Nature and Significance of Management,levels of management,place/channel,2,1.3,0.585,"Which level of Channel is used for consumer goods like soaps, oils, clothes, rice, sugar etc.?"
Nature and Significance of Management,meaning and objectives,unity of command,2,1.3,1.04,"""Adarsh is of the viewpoint that directing techniques must help every individual in the organisation to contribute to his maximum for achievement of organisational objectives"". Which of the following guiding principles of directing has been highlighted in the aforesaid statement?"
Organising,importance,division of work,2,1.3,1.3,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Importance of organising <th>Description </th> | Description |
| --- | --- |
| (A) Benefits of specialisation | (I) Stimulating creativity amongst the managers |
| (B) Clarity in working relationships | (II) Systematic allocation of jobs amongst the work force. |
| (C) Development of personnel | (III) Removing ambiguity in the transfer of information and instructions |
| (D) Expansion and Growth | (IV) Helping in the diversification of an enterprise |

Choose the correct answer from the options given below:"
Organising,importance,facilitates,2,1.3,1.3,"Identify the importance of organising, from the options given below:

(A) Facilitates Administration

(B) Facilitates Growth and Diversification

(C) Facilitates optimum use of resources

(D) Facilitates adaptation to change

Choose the correct answer from the options given below:"
Organising,organisation structure,capital structure,2,1.3,1.3,The optimal combination of various sources of funds for a business is called:
Organising,organisation structure,centralisation/decentralisation,2,1.3,0.585,"| Set A | Set B |
| --- | --- |
| A. Product specialization | I. Span of management |
| B. All decision making authority is kept with top level. | II. Informal |
| C. Arises out of personal qualities | III. Divisional Structure |
| D. Number of subordinates that can be managed by a superior | IV. Centralisation |

Choose the correct answer form the options given below:"
Organising,organisation structure,communication barriers,2,1.3,1.04,Which Organisational structure facilitates occupational specialization?
Organising,organisation structure,delegation,2,1.3,1.3,"Q.42
Read the passage and answer the following questions.
 

--- Page 10 ---
Wipro Technologies, one of India's largest IT solutions providers,
restructured its organization in its bid to compete globally with giants like
IBM and Accenture. This restructuring aimed to improve customer
orientation and operational efficiency, critical to Wipro's ambition of
becoming a global technology leader.
 
The company transitioned from a centralized management system to a
decentralized structure, dividing its operations into several self-sufficient
subsidiaries focused on specific product lines, such as
telecommunications, engineering, and financial services. Each subsidiary
operates independently, managing its personnel, accounting, and
administrative functions. This decentralization empowered business
leaders to take greater responsibility for growth and eliminated an entire
layer of executives to streamline operations.
 
Azim Premji, Wipro's then-chairman, emphasized the importance of this
shift, noting that it gave leaders more autonomy and enhanced decision-
making at the operational level. This organizational change helped Wipro
achieve specialization and allowed better alignment of resources with
customer needs.
 
Despite the advantages of decentralization, including flexibility, faster
decision-making, and enhanced accountability, it also posed challenges,
such as coordination among subsidiaries and maintaining consistency in
strategic objectives. Wipro addressed these challenges by clearly defining
roles and responsibilities across its new structure.
What significant organizational change did Wipro make during
restructuring?"
Planning,types of plans,plans,2,1.3,1.3,____________ is usually developed once but is modified from time to time to meet business needs as required.
Principles of Management,Fayol principles,centralisation/decentralisation,2,1.3,1.3,"Ram, the production manager, ensures that the workers are given tasks according to their specialization. However, workers complain that Ram favors some employees over others on the grounds of their caste. Which principle of management is followed and ignored here?"
Principles of Management,Taylor scientific management,types of plans,2,1.3,1.17,Identify the Principle of Management where Taylor pioneered the introduction of method of scientific inquiry into the domain of management practice.
Principles of Management,nature of principles,entrepreneur characteristics,2,1.3,1.3,"Q.37
Which of the following are the basic features of Science?"
Principles of Management,techniques of scientific management,unity of command,2,1.3,0.6825,Which technique of Scientific Management violates Unity of Command?
Staffing,Compensation and Benefits,compensation,2,1.3,1.3,"'Compensation refers to all forms of pay or rewards going to employees where some payments are direct and some are indirect'. 

 An indirect payment is:"
Staffing,meaning and importance,recruitment,2,1.3,0.9425,Which among the following is NOT the specialized activity and duty of the Human Resource personnel ?
Staffing,selection,recruitment,2,1.3,0.9425,Which phase involves generating a pool of candidates?
Staffing,staffing process,delegation,2,1.3,1.3,Which of the following is NOT an aspect of staffing?
Staffing,staffing process,selection,2,1.3,1.3,"Choose the correct order of staffing process.
(A) Estimating Manpower Requirements
(B) Placement and Orientation
(C) Selection
(D) Training and Development

Choose the correct answer from the options given below:"
Staffing,staffing process,types of plans,2,1.3,0.9425,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (A) Orientation | (I) choosing from among the pool of the prospective job candidates |
| (B) Recruitment | (II) facilitate employee learning |
| (C) Training and Development | (III) process of searching for prospective employees |
| (D) Selection | (IV) familiarising the person with the rules and policies of the organisation |

Choose the correct answer from the options given below:"
Staffing,training and development,recruitment,2,1.3,0.9425,Which of the following relates to the recruitment process?
Staffing,training and development,selection,2,1.3,1.3,Vaibhav applied to a software firm as a software developer. He passed the written exam and went through several rounds of tests and interviews. The company was testing his performance and the potential of his knowledge. Which aspect of staffing is being referred to here?
Business Environment,Consumer Protection and Legal Aspects,beware,1,0.65,0.65,What does Caveat Venditor imply?
Business Environment,dimensions,communication barriers,1,0.65,0.2925,"The Economic survey 2019 suggests that the psychological studies can be used in the realm of tax compliance. It is in favour of using religious norms such as ""dying debt is a sin"" to improve tax compliance. Identify the related dimension of business environment.

A. Economic
B. Social
C. Technological
D. Legal
E. Political

Choose the correct answer from the option given below:"
Business Environment,dimensions,dimensions,1,0.65,0.65,"Q.2
Management is a complex and multi dimensional activity that has three
main dimensions. Identify, from the options given below, which is NOT
included in the three dimensions."
Business Environment,dimensions,discipline,1,0.65,0.65,"""Understanding of the business environment by managers can be appreciated if the manager considers one of the following aspects of the business environment"". Identify the point of importance of business environment from the following:"
Business Environment,dimensions,equity,1,0.65,0.65,"Individual freedom, social justice, equality of opportunity and national integration are examples of:"
Business Environment,dimensions,place/channel,1,0.65,0.2925,"Attitudes towards product innovations, lifestyles, occupational distribution and consumer preferences constitute _____ dimension of business environment."
Business Environment,dimensions,political,1,0.65,0.2925,Identify from the following the component which is not the part of political environment.
Business Environment,dimensions,recruitment,1,0.65,0.65,"In India, the advertisements for alcoholic beverages are banned, the dimension of business environment referred to here is:"
Business Environment,importance of environment,helps,1,0.65,0.65,Which of the following statements does not reflect the importance of business environment?
Business Environment,meaning and features,analysis,1,0.65,0.2925,Name the type of analysis conducted by Kapil.
Business Environment,meaning and features,forces,1,0.65,0.65,"Which among the following is NOT a feature of the business environment?

1. Static nature
2. Relativity
3. Specific and general forces
4. Totality of external forces"
Business Environment,meaning and features,taken,1,0.65,0.65,"Q.34
Which of the following states that a specific and definite action is to be
taken or not to be taken?"
Business Finance,Capital Structure,types of plans,1,0.65,0.65,"The factors affecting capital structure decisions are:

(A) Fiscal policy

(B) Stock market conditions

(C) Control

(D) Risk considerations

Choose the correct answer from the options given below:"
Business Finance,Cost Classification,variable,1,0.65,0.65,"A sales manager's salary is Rs. 50,000, but he also receives a 2.5% commission if the sale increases from 3500 units.
Identify the type of cost highlighted here:"
Business Finance,Financing Decision,financial risk,1,0.65,0.52,"Debt is _______ but is more _______ for a business, the payment of interest and the return of principal is obligatory for the business."
Business Finance,Owners' Funds,equity,1,0.65,0.65,Which of the following cannot be termed as owners' funds?
Business Finance,Project Appraisal,analysis,1,0.65,0.65,"Which of the following are the components of feasibility analysis?
(A) Economic Analysis
(B) Technical Analysis
(C) Financial Analysis
(D) Personal Analysis

Choose the correct answer from the options given below:"
Business Finance,current assets,financial risk,1,0.65,0.65,Which among the following is NOT the current asset?
Business Finance,dividend decision,equity,1,0.65,0.2925,"Identify the factors which affect the dividend decision.

A. Stock market Reaction
B. Floatation Cost
C. Legal Constraints
D. Fixed operating cost
E. Cost of equity"
Business Finance,dividend decision,types of plans,1,0.65,0.2925,"Dividend decision is affected by many factors. Identify the factors affecting dividend decisions.
(a) State of Capital market
(b) Control Consideration
(c) Shareholder's Preference
(d) Taxation Policy
(e) Floatation Cost
Choose the most appropriate answer from the options given below :"
Business Finance,financial management,maximisation,1,0.65,0.65,The primary aim of financial management is:
Business Finance,financial management,maximise,1,0.65,0.39,The primary aim of financial management is :-
Business Finance,financial management,maximization,1,0.65,0.65,The primary aim of financial management is:
Business Finance,financial management,money,1,0.65,0.2925,"During the period of Diwali, people prefer to keep money at home and hence do not deposit money in the bank. There are also frequent withdrawals from the ATM in the form of cash. Due to this, banks all over the country may face the problem of low liquid cash. Identify the money market instrument that the bank can use to solve their financial problem."
Business Finance,financial planning,analysis,1,0.65,0.65,The impact of financial leverage on the profitability of a business can be seen through:
Business Finance,financial planning,money,1,0.65,0.65,Money required for carrying out the business activities is known as:
Business Finance,financial planning,planning,1,0.65,0.65,"The CEO of a firm is involved regularly in personal observation, statistical report making and trying to ensure that current activities conform to planned targets. Which function of management is he performing?"
Business Finance,financial planning,price mix,1,0.65,0.2925,Which one of the following is NOT the function of Financial Market ?
Business Finance,financial ratios,financial risk,1,0.65,0.65,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Concept | Equation |
| (A) Financial Leverage | (I) (Profit after tax+depreciation+interest+non cash expenses)/<br>(pref dividend+interest+repayment obligation) |
| (B) Net Working Capital | (II) Debt/Equity |
| (C) Interest Coverage Ratio | (III) Current Assets - Current Liabilities |
| (D) Debt service coverage ratio | (IV) EBIT/Interest |

Choose the correct answer from the options given below:"
Business Finance,financial statements and ratios,financial risk,1,0.65,0.65,What does EBIT stands for:
Business Finance,financing decision,financing,1,0.65,0.2925,Identify the factor which does not affect the financing decision of an organisation :
Business Finance,financing decision,raising,1,0.65,0.65,The cost of raising funds from the market is known as:
Business Finance,fixed capital,equity,1,0.65,0.2925,"From the following source of finance, identify the source that is not related to Owner's fund:"
Business Finance,investment decision,assets,1,0.65,0.2925,Current assets are those assets which get converted into cash within
Business Finance,investment decision,capital structure,1,0.65,0.2925,Rajat is planning the break up of his finance to know the amount of capital that he will utilize to purchase fixed assets and current assets. Identify the financial decision taken by Rajat
Business Finance,investment decision,commercial,1,0.65,0.2925,Name the money market investment used by Commercial banks to meet their cash Reserve Ratio requirement.
Business Finance,investment decision,decisions,1,0.65,0.65,"Identify the incorrect statement related to the decision of investing in a land by the company, from the options given below:"
Business Finance,investment decision,equity,1,0.65,0.2925,"""Through this process of disinvestment and reinvestment, savings get channelized into their most productive investment avenues"" - which function of stock exchange is highlighted by the given statement?"
Business Finance,investment decision,finance,1,0.65,0.65,"Cash flow statement
Options 1. 1"
Business Finance,investment decision,percent,1,0.65,0.65,"There are two projects, A and B (with the same risk involved), with a rate of return of 10 percent and X percent, respectively, if under normal circumstances, project B is selected. What could be the rate of return of Project B?"
Consumer Protection,NGOs and relief,consumer,1,0.65,0.65,"Q.39
Analyse the statements given below and identify which of the following is
not the role of Consumer Organisations and NGOs?"
Consumer Protection,NGOs and relief,entrepreneur characteristics,1,0.65,0.65,"Which of the following are the role of NGOs and consumer organizations for the protection of consumers?
(A) Carrying out testing of consumer products
(B) Taking initiatives in filing cases in consumer courts for individuals only
(C) Providing legal assistance to consumers by way of providing aid, legal advice etc.
(D) Publishing periodicals to impart knowledge about consumer problems and relief available.
Choose the correct answer from the options given below:"
Consumer Protection,NGOs and relief,types of plans,1,0.65,0.65,Analyse the statements given below and identify which of the following is not the role of Consumer Organisations and NGOs?
Consumer Protection,consumer products,purchased,1,0.65,0.65,Which of the following is a consumer product?
Consumer Protection,consumer responsibilities,store,1,0.65,0.65,What action did Ananya first take against the store?
Consumer Protection,consumer rights,capital structure,1,0.65,0.39,Capital structure should emphasize on:-
Consumer Protection,consumer rights,helps,1,0.65,0.65,"Identify the benefits offered to the organization through proper staffing.

1. Helps in discovering and obtaining competent personnel for various jobs.
2. It contributes to lower performance of employees, by putting the right person in the right job.
3. Ensures the temporary survival and growth of the enterprise through the succession planning for managers.
4. Helps to ensure limited utilization of human resources."
Consumer Protection,consumer rights,market,1,0.65,0.2925,"Match the List I with List II

| List I | List II |
|---|---|
| A. Primary market | I. Pre-emptive right of existing shareholders |
| B. Rights issue | II. Deals in long term financial assets |
| C. Capital market | III. Treasury bills |
| D. Money market | IV. New issues market |"
Consumer Protection,consumer rights,maslow hierarchy,1,0.65,0.65,"Q.25
""Electrical appliances which are manufactured with substandard products
or do not conform to the safety norms might cause serious injury. Thus,
consumers are educated that they should use electrical appliances which
are ISI marked as this would be an assurance of such products meeting
quality specifications. ""Identify the consumer right highlighted in the
aforesaid statement."
Consumer Protection,consumer rights,place/channel,1,0.65,0.2925,Identify the function of marketing that is also undertaken to fulfill the 'right of be heard' right of a consumer under Consumer Protection Act.
Consumer Protection,importance,caveat,1,0.65,0.2925,"Identify from the following phrase which means ""Let the buyer beware""?"
Consumer Protection,importance,products,1,0.65,0.65,"Q.13
Which of the following are classified as Consumer Products on the basis of
shopping efforts involved?"
Consumer Protection,importance,recruitment,1,0.65,0.2925,"If the consumer court is satisfied about the genuineness of the complaint made by the consumer, identify the reliefs which court could award

A. To remove the defect in goods or deficiency in services
B. To refund the price paid for the product/ service
C. To issue corrective advertisement to neutralise the effect of a misleading advertisement
D. To publish periodicals and other publications to impart knowledge about consumer rights."
Consumer Protection,importance,types of plans,1,0.65,0.65,Which of the following is not the function of consumer organizations and NGOs for the protection and promotion of the interests of consumers?
Consumer Protection,legal redressal,consumer,1,0.65,0.65,Where did Ananya file her complaint?
Consumer Protection,legal redressal,delegation,1,0.65,0.65,Identify the responsibility which Manoj kept in mind in the above case?
Consumer Protection,legal redressal,price mix,1,0.65,0.65,Which of the following relief is NOT available to Manoj?
Controlling,control process,actual,1,0.65,0.65,"From the options given below, identify the steps that are involved in the process of ensuring that actual activities conform to planned activities:

(A) Setting performance standards and measurement of actual performance

(B) Comparison of actual performance with standards

(C) Taking corrective action

(D) Analysis of deviations

Choose the correct answer from the options given below:"
Controlling,control process,areas,1,0.65,0.2925,Critical point control focuses on --
Controlling,control process,centralisation/decentralisation,1,0.65,0.65,"Which element of directing, does Sarah follow in encouraging employees to meet performance standards?"
Controlling,control process,communication barriers,1,0.65,0.65,An organization has no control over which factors?
Controlling,control process,company,1,0.65,0.65,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (A) Setting Standards | (I) The company has decided to increase the workforce to meet the shortage of production. |
| (B) Measuring Actual Performance | (II) Company sets target production rate of 1000 units per day |
| (C) Taking Corrective Action | (III) Acceptable deviations of actual performance from the standard performance is $\pm$ 50 units. |
| (D) Analyzing Deviations | (IV) The company produces 700 units per day. |

Choose the correct answer from the options given below:"
Controlling,control process,deviation,1,0.65,0.65,Which among the following concept serves as a benchmark towards which an organization strives to work?
Controlling,control process,manager,1,0.65,0.2925,"Mr. Sumit Sharma is the Product manager of a Garment manufacturing company. He was asked by the Senior manager Mr. Ram to prepare performance report of the employee as the production was decreasing.

Which step of the controlling process, the senior manager Mr. Ram wanted Mr. Sumit to perform?"
Controlling,control process,ministry,1,0.65,0.39,"Identify for the following under whose overall administrative control, SEBI functions"
Controlling,control process,process,1,0.65,0.39,A company has replaced their obsolete machinery with a Hi-Tech machine as it could not achieve its target in the previous month due to slow production process. Which step in the process of controlling is executed by the company?
Controlling,meaning and importance,areas,1,0.65,0.65,KRA in controlling process stands for:
Controlling,meaning and importance,could,1,0.65,0.2925,"A manger realised that inspite of best efforts put in by his workers, the target could not be achieved. 'Obsolete machinery' was the cause of deviation. Suggest from the following a corrective actions that could be appropriate to overcome the on going problem."
Controlling,meaning and importance,facilitates,1,0.65,0.65,Which of the following is NOT an importance of controlling?
Controlling,meaning and importance,factors,1,0.65,0.65,Identify the main cause of the deviation that occured in the organisation.
Controlling,meaning and importance,helps,1,0.65,0.65,"Which of the following are the importance of controlling?
(A) It helps in accomplishing organizational goals.
(B) It improves past planning by providing information derived from present experience.
(C) It helps in improving employee motivation.
(D) It helps in judging the accuracy of standards.
Choose the correct answer from the options given below:"
Controlling,meaning and importance,standards,1,0.65,0.65,"After finding deviations from the standards, the manager initiates for corrective action. But if the deviation can not be corrected, the manager may opt for"
Controlling,meaning and importance,training,1,0.65,0.65,What corrective action was taken for warehouse operations?
Controlling,meaning and importance,types of plans,1,0.65,0.65,"The importance of controlling function of management includes:

<ul>
<li>(A) Improves employee motivation</li>
<li>(B) Accomplishes organizational objectives</li>
<li>(C) Facilitates coordination</li>
<li>(D) Initiates action in the organisation</li>
</ul>

Choose the correct answer from the options given below:"
Controlling,objectives of standardisation,types of plans,1,0.65,0.65,"Which of the following are the objectives of standardisation in a business organisation?

(A) To reduce a given line or product to fixed types, sizes and characteristics.

(B) To establish interchange ability of manufactured parts and products.

(C) To establish standards of excellence and quality in materials.

(D) To establish standards of performance appraisal for human resources only.

Choose the correct answer from the options given below:"
Controlling,relationship with planning,other,1,0.65,0.65,Which of the following shows the relationship between planning and controlling?
Directing,communication,centralisation/decentralisation,1,0.65,0.65,"""Rahul identified that there was a lack of proper communication between the marketing and production teams"". Which element of directing is highlighted here?"
Directing,communication,delegation,1,0.65,0.2925,One of the following is not an element of direction Identify
Directing,communication,financial risk,1,0.65,0.2925,"Match List - I with List - II.

| List - I | List - II |
|---|---|
| (A) Indicator of a person's learning ability | (I) Aptitude Tests |
| (B) Provides clues to a person's value system | (II) Interest Tests |
| (C) Measurement of individuals potential for learning new skills | (III) Intelligence Tests |
| (D) Indicator for the pattern of involvement of a person | (IV) Personality Tests |

Choose the correct answer from the options given below :"
Directing,communication,leadership style,1,0.65,0.65,"""Adarsh ensured that proper motivational and leadership techniques should be used while directing the people based on subordinate needs, capabilities, attitudes and other situational variables"". Which of the following guiding principles of directing has been highlighted in the aforesaid statement?"
Directing,communication,product mix,1,0.65,0.2925,"Match List - I with List - II.

| List - I | List - II |
|---|---|
| (A) Packaging | (I) Impersonal form of communication |
| (B) Labelling | (II) Act of designing containers/wrappers |
| (C) Advertising | (III) Process of giving a name/sign |
| (D) Branding | (IV) Act of designing labels |

Choose the correct answer from the options given below :"
Directing,leadership,formal/informal organisation,1,0.65,0.39,"Match List I with List II

| LIST I | | LIST II |
|---|---|---|
| A. Job Enrichment | I. | Indicates the characteristics which describe an organisation |
| B. Organisational Climate | II. | Informal Communication |
| C. Laissez-faire | III. | Leadership Style |
| D. Grapevine | IV. | Concerned with designing jobs that include greater variety of work content |

Choose the correct answer from the options given below:"
Directing,leadership,types of plans,1,0.65,0.65,Ms. Sonia is running her own boutique in a posh locality of Delhi on a large scale. She respects the opinions of her hired designers and supports them to perform their duties and accomplish organizational objectives. The type of leadership style adopted by her is:
Directing,leadership,unity of command,1,0.65,0.65,"Which principle of directing states that ""mere giving of an order is not sufficient""?"
Directing,meaning and importance,centralisation/decentralisation,1,0.65,0.65,Which of the following is not an element of directing function of management?
Directing,motivation,delegation,1,0.65,0.65,"""Rahul implemented a reward system where employees exceeding their targets would receive incentives"". Which concept of management is highlighted here?"
Directing,motivation,financial,1,0.65,0.65,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Financial/Non-Financial Incentives | Examples |
| (A) Job Enrichment | (I) Autonomy and powers to subordinates |
| (B) Retirement benefits | (II) Gratuity |
| (C) Employee Empowerment | (III) Preparing a greater variety of work content |
| (D) Bonus | (IV) Additional incentives over and above the salary/wages. |

Choose the correct answer from the options given below:"
Directing,motivation,incentives,1,0.65,0.2925,Amrita tried to motivate her employees by giving them bonus. To which category of incentives bonus belongs to?
Directing,motivation,leadership style,1,0.65,0.2925,"Match the items of List - I with the correct items of List - II.

| List - I | List - II |
| --- | --- |
| (a) Employee empowerment | (i) Leadership style |
| (b) Grapevine | (ii) Financial incentive |
| (c) Laissez Faire | (iii) Non financial incentives |
| (d) Co-Partnership | (iv) Internal communications |

Choose the correct answer from the options given below :"
Directing,motivation,payments,1,0.65,0.2925,"Match the items of List I with the correct items of List II

| List I | List II |
| --- | --- |
| A. Direct financial payments | I. Employer paid insurance and vacation |
| B. Indirect payments | II. Payment of salary and wages on daily, weekly or monthly basis |
| C. Direct time based payments | III. Payment of wages and salary according to piece work |
| D. Direct performance based payments | IV. Incentives, commission and bonus |

Choose the correct answer from the options given below:"
Directing,motivation,price mix,1,0.65,0.2925,"""Employees are offered shares at a price lower than the market price""

Financial incentives identified above is:"
Directing,motivation,types of plans,1,0.65,0.65,"Q.47
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after
the launch, the sales were not meeting expectations, and employee morale
seemed low.
 
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
 
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts. Her presence ensured that tasks were
completed on time and in alignment with the company’s objectives. She
also provided feedback and recognized the efforts of team members, which
boosted their morale.
 
Rahul implemented a reward system where employees exceeding their
targets would receive incentives. Additionally, training sessions were
organized to improve employees’ skills and confidence in handling the
advanced features of the new product.
What motivational tool did Rahul implement?"
Directing,principles of directing,unity of command,1,0.65,0.65,Which of the following is not the principle of directing?
Directing,supervision,directing,1,0.65,0.65,"Q.28
Sandhya, the Plant Supervisor, found that there were many unnecessary
movements while doing a job which could be eliminated. Which technique
can be used to solve the problem?"
Directing,supervision,discipline,1,0.65,0.65,What is the main purpose of supervision?
